trial_id,seed,agent,hazard_mode,reliability,progress,target_global_step,observed_global_step,step_lag,choice,greedy_action,corridor_selected
recoverable_risky_corridor-expected_sarsa-s10-3aa16c92b36b,10,expected_sarsa,recoverable,0.81,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-3aa16c92b36b,10,expected_sarsa,recoverable,0.81,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-3aa16c92b36b,10,expected_sarsa,recoverable,0.81,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-3aa16c92b36b,10,expected_sarsa,recoverable,0.81,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-8f7ec3983b56,10,expected_sarsa,recoverable,0.825,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-8f7ec3983b56,10,expected_sarsa,recoverable,0.825,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-8f7ec3983b56,10,expected_sarsa,recoverable,0.825,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-8f7ec3983b56,10,expected_sarsa,recoverable,0.825,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-991c5e1f3e4b,10,expected_sarsa,recoverable,0.805,0.25,25000,25000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-991c5e1f3e4b,10,expected_sarsa,recoverable,0.805,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-991c5e1f3e4b,10,expected_sarsa,recoverable,0.805,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-991c5e1f3e4b,10,expected_sarsa,recoverable,0.805,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-993cb05504a4,10,expected_sarsa,recoverable,0.8,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-993cb05504a4,10,expected_sarsa,recoverable,0.8,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-993cb05504a4,10,expected_sarsa,recoverable,0.8,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-993cb05504a4,10,expected_sarsa,recoverable,0.8,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-9ae5f813290f,10,expected_sarsa,recoverable,0.855,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-9ae5f813290f,10,expected_sarsa,recoverable,0.855,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-9ae5f813290f,10,expected_sarsa,recoverable,0.855,0.75,75000,75000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-9ae5f813290f,10,expected_sarsa,recoverable,0.855,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-a0b59650c3e1,10,expected_sarsa,recoverable,0.9,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-a0b59650c3e1,10,expected_sarsa,recoverable,0.9,0.5,50000,50000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-a0b59650c3e1,10,expected_sarsa,recoverable,0.9,0.75,75000,75000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-a0b59650c3e1,10,expected_sarsa,recoverable,0.9,1,100000,100000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-a10222716505,10,expected_sarsa,recoverable,0.6,0.25,25000,25000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-a10222716505,10,expected_sarsa,recoverable,0.6,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-a10222716505,10,expected_sarsa,recoverable,0.6,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-a10222716505,10,expected_sarsa,recoverable,0.6,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-b2a5b94230da,10,expected_sarsa,recoverable,0.78,0.25,25000,25000,0,corridor,1,1
recoverable_risky_corridor-expected_sarsa-s10-b2a5b94230da,10,expected_sarsa,recoverable,0.78,0.5,50000,50000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-b2a5b94230da,10,expected_sarsa,recoverable,0.78,0.75,75000,75000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-b2a5b94230da,10,expected_sarsa,recoverable,0.78,1,100000,100000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-b95814116d46,10,expected_sarsa,recoverable,0.7,0.25,25000,25000,0,shelter,2,0
recoverable_risky_corridor-expected_sarsa-s10-b95814116d46,10,expected_sarsa,recoverable,0.7,0.5,50000,50000,0,shelter,2,0
